country,region,name,latitude,longitude
RS,0,Zarkovo,44.7569,20.42
RS,0,Kragujevac,44.0167,20.9167
FO,0,Hvalba,61.6,-6.95
BW,0,Orapa,-21.2833,25.3667
MT,0,Marsa Scala,35.8669,14.5619
MT,0,B'Bugia,35.8258,14.5269
MC,0,Monaco-Ville,43.7333,7.4167
FO,0,Kaldbak,62.05,-6.8167
FO,0,Strendur,62.1167,-6.75
FO,0,Glyvrar,62.1333,-6.7167
RS,0,Pinosava,44.23,21.0486
RS,0,Zeleznik,44.7239,20.3686
RS,0,Arilje,43.7531,20.0956
RS,0,Ugrinovci,44.1725,20.3878
RS,0,Kraljevo,43.5739,21.6969
MQ,0,Saint-Pierre,14.7333,-61.1667
GP,0,Baillif,16.0167,-61.7333
GP,0,Bouillante,16.1333,-61.7667
GP,0,Clugny,16.3167,-61.4
GP,0,Vieux-Habitants,16.05,-61.75
RS,0,Macvanski Pricinovic,44.8483,19.6342
RS,0,Alt-Pasua,44.985,20.1608
RS,0,Gornji Misevic,43.9728,21.1108
RS,0,Smederevo,44.6628,20.93
RS,0,Padinska Skela,44.9439,20.4297
RS,0,Vreoci,44.4422,20.2817
NZ,0,Foxton,-40.4667,175.3
NZ,0,Rolleston,-43.5833,172.3833
NZ,0,Reporoa,-38.4333,176.35
NZ,0,Culverden,-42.7667,172.85
NZ,0,Kerepehi,-37.3,175.5333
HK,0,Cheung Ting,22.25,113.8833
HK,0,Ngong Ping,22.25,113.9
HK,0,Lam Che,22.2667,113.9167
NZ,0,Warkworth,-36.4,174.6667
PF,0,Punaauia,-17.6333,-149.6
PF,0,Paea,-17.6833,-149.5833
PF,0,Papeari,-17.75,-149.35
PF,0,Pirae,-17.5167,-149.5333
NZ,0,Havelock North,-39.6667,176.8833
NZ,0,Amberley,-43.1667,172.7333
NZ,0,Dunsandel,-43.6667,172.1833
NZ,0,Turangi,-39,175.9333
NZ,0,Karamea,-41.25,172.1167
NZ,0,Tokomaru,-40.4667,175.5
NZ,0,Waimana,-38.15,177.0833
NZ,0,Raglan,-37.8,174.8833
NZ,0,Panmure,-36.8833,174.8667
NZ,0,Kumeu,-36.7667,174.5667
NZ,0,Patea,-39.7583,174.4833
NZ,0,Waitara,-38.925,174.25
NZ,0,Nuhaka,-39.05,177.75
HK,0,Sui Lam,22.3667,114.0167
NZ,0,Pigeon Bush,-41.15,175.2667
NZ,0,Maketu,-37.7667,176.45
NZ,0,Southbridge,-43.8167,172.25
NZ,0,Macetown,-44.8667,168.8333
NZ,0,Hawera,-39.5917,174.2833
NZ,0,Parakai,-36.65,174.4333
NZ,0,Otorohanga,-38.1833,175.2
NZ,0,Sanson,-40.2167,175.4167
NZ,0,Torbay,-36.7,174.75
NZ,0,Kakanui,-45.1833,170.9
NZ,0,Waitoa,-37.6167,175.6333
NZ,0,Tirau,-37.9833,175.75
NZ,0,Manutuke,-38.6833,177.9167
NZ,0,Hunua,-37.0833,175.0667
NZ,0,Oakura,-39.1167,173.95
NZ,0,Rakaia,-43.75,172.0167
NZ,0,Wairoa,-39.0333,177.3667
NZ,0,Rongotea,-40.3,175.4167
NZ,0,Matata,-37.8833,176.75
NZ,0,Paraparaumu Beach,-40.9,174.9833
NZ,0,Mangaroa,-41.1167,175.1167
NZ,0,Whitianga,-36.8333,175.7
NZ,0,Coromandel,-36.7667,175.5
NZ,0,Darfield,-43.4833,172.1167
NZ,0,Woodend,-43.3167,172.6667
NZ,0,Burnham,-43.6167,172.3167
NZ,0,Takaanini,-37.0333,174.9167
HK,0,Jordan Valley,22.3333,114.2167
HK,0,Che Kung Miu,22.3667,114.1833
HK,0,Chai Kek,22.45,114.1167
RE,0,Saint-Philippe,-21.35,55.7667
RE,0,La Montagne,-20.8833,55.4333
RS,0,Beska,45.1297,20.0661
MT,0,Mdina,35.8869,14.4025
RS,0,Prijepolje,43.3719,19.6406
RS,0,Starcevo,44.4639,21.4011
RS,0,Slanci,44.8069,20.5728
RS,0,Omoljica,44.7606,20.7281
RS,0,Apfeldorf,44.9494,20.5997
RS,0,Ovca,44.8878,20.5356
RS,0,Veternik,45.2533,19.7594
PM,0,Saint-Pierre,46.7667,-56.1833
PM,0,Miquelon,47.0975,-56.3814
NC,0,Mont-Dore,-22.2833,166.5833
AW,0,Paradera,12.5333,-70
AN,0,Barber,12.2833,-69.0667
AW,0,Noord,12.5667,-70.0167
AW,0,Santa Cruz,12.5,-69.9667
NZ,0,Wanaka,-44.7,169.15
NZ,0,Winton,-46.15,168.3333
NZ,0,Hawarden,-42.9333,172.6333
NZ,0,Stoke,-41.3167,173.2333
HK,0,Tai Kok Tsui,22.3167,114.1667
BN,0,Kampong Perupok,4.75,114.6167
BN,0,Kampong Perumpang,4.6833,114.4833
BN,0,Kampong Lilas,4.7,114.5167
BN,0,Jerudong,4.95,114.85
BN,0,Kampong Potong,4.8333,114.7833
BN,0,Kampong Luagan Dudok,4.8167,114.7167
BN,0,Kampong Penyatang,4.75,114.5833
NZ,0,Murupara,-38.4667,176.7
HK,0,Caroline Hill,22.2833,114.1833
BN,0,Kampong Kopang,4.85,114.7833
BN,0,Kampong Beribi,4.8833,114.8833
BN,0,Tutong,4.8,114.65
BN,0,Kampong Bakaladong,4.6833,114.6667
BN,0,Kampong Lubok Tanjong Maya,4.75,114.6667
BN,0,Kampong Junjongan,4.8,114.85
BN,0,Kampong Baharu,4.8,114.8
BN,0,Kampong Birau,4.7833,114.7333
NP,0,Lalitpur,27.6667,85.3333
NZ,0,Katikati,-37.55,175.9167
NZ,0,Opotiki,-38.0833,177.2833
HK,0,A Po Long,22.2833,114
NZ,0,Wyndham,-46.3333,168.85
NU,0,Alofi,-19.0167,-169.9167
HK,0,Pak Nai,22.45,113.95
HK,0,Ying Pun,22.4667,114.1167
HK,0,Shek Tsai Po,22.25,113.85
HK,0,Tsin Yue Wan,22.2167,113.8333
HK,0,Shouson Hill,22.25,114.1833
NP,0,Banepa,27.6333,85.5167
